cut_id,subsystem,part_or_blank,authority,source_status,estimate_size,quantity,notes
PO-CUT-001,wind_system,bellows board blanks,pending_measurement,estimate_pending,TBD,TBD,"Bellows proportions and hinge layout require ergonomic mule."
PO-CUT-002,wind_system,bellows fold or flexible material blanks,pending_measurement,estimate_pending,TBD,TBD,"Material and fold pattern are not specified."
PO-CUT-003,wind_system,reservoir panels,pending_measurement,estimate_pending,TBD,TBD,"Reservoir volume and response are pending measurement."
PO-CUT-004,wind_system,check-valve flap blanks,pending_measurement,estimate_pending,TBD,TBD,"Valve strategy depends on future wind path."
PO-CUT-005,windchest,windchest body blanks,pending_measurement,estimate_pending,TBD,TBD,"Channel layout and sealing surfaces are unresolved."
PO-CUT-006,windchest,pallet blanks,pending_measurement,estimate_pending,TBD,TBD,"Pallet travel, facing, and seating force remain open."
PO-CUT-007,keyboard,key blanks,pending_measurement,estimate_pending,TBD,TBD,"Key spacing and action geometry require ergonomic mockup."
PO-CUT-008,keyboard,key guide rail blanks,pending_measurement,estimate_pending,TBD,TBD,"Guides depend on selected key action."
PO-CUT-009,pipes,test-pipe blanks,pending_measurement,estimate_pending,TBD,TBD,"Pipe scale, end condition, and material are not released."
PO-CUT-010,pipes,future rank blanks,pending_measurement,estimate_pending,TBD,TBD,"Reserved for later L2/L3 pipe study; no lengths or tuning values."
PO-CUT-011,case,case side and back blanks,pending_measurement,estimate_pending,TBD,TBD,"Support mode and pipe protection are unresolved."
PO-CUT-012,case,access panel blanks,pending_measurement,estimate_pending,TBD,TBD,"Service access needs to be proven on a mockup."
PO-CUT-013,validation,wind-system mule fixture blanks,pending_measurement,estimate_pending,TBD,TBD,"Non-playing mule only; not a released instrument cut list."
